episode,reward,eval_mean,eval_std,policy_loss,value_loss,entropy
0,-1.4967750000000002,-3.817257500000001,0.6043387988951271,-0.0015749272424727678,43.025638818740845,0.38103065732866526
1,-3.5167875,nan,nan,-0.0179904717952013,23.278674840927124,0.45673246309161186
2,-6.1040875,nan,nan,0.016940797911956906,8.937312692403793,0.7725831046700478
3,-6.111587500000001,nan,nan,0.07030030875466764,11.465503454208374,1.1194730624556541
4,-12.102287500000001,nan,nan,-0.002098968718200922,13.643943309783936,1.4993637204170227
5,-7.810012500000001,nan,nan,0.05140771507285535,8.712214291095734,1.099393144249916
6,-8.7145375,nan,nan,0.03827014262787998,9.513712048530579,0.7898002117872238
7,-4.914375000000001,nan,nan,-0.02223452879115939,6.866635352373123,0.6161265522241592
8,-2.702,nan,nan,0.008665523724630475,6.525071084499359,0.4478553235530853
9,-7.3114125,nan,nan,0.0203139903023839,7.6882180869579315,0.5569547452032566
10,-7.1110875,nan,nan,-0.007489219424314797,6.783039391040802,0.3084272686392069
11,-3.4970875,nan,nan,-0.003234711941331625,5.873977929353714,0.19095636904239655
12,-3.4045875000000003,nan,nan,0.02240586990956217,5.112253412604332,0.34587174840271473
13,-2.9070875,nan,nan,0.001304709818214178,5.35881932079792,0.06320715695619583
14,-3.0040125,nan,nan,0.021720726508647203,4.982936754822731,0.05535580450668931
15,-3.1045875,nan,nan,0.01335498911794275,4.763972878456116,0.12418814655393362
16,-3.519275,nan,nan,-0.011298611760139465,4.531168043613434,0.33040109276771545
17,-3.2194625,nan,nan,0.0075188432820141315,4.470023304224014,0.3266125060617924
18,-3.121125,nan,nan,-0.0008261348120868206,4.547542318701744,0.14848604146391153
19,-2.7086875,nan,nan,-0.02109755016863346,4.747578054666519,0.2558681257069111
20,-4.533825,-7.77066250000002,0.5991660652002073,0.06118794996291399,4.232698991894722,0.8991500586271286
21,-6.645575000000001,nan,nan,-0.016271706204861403,3.6987430453300476,0.9975759759545326
22,-3.516025,nan,nan,0.02567517152056098,4.094434157013893,0.3171151392161846
23,-2.4964125,nan,nan,0.04143480584025383,4.591880634427071,0.09257095400243998
24,-1.3012000000000001,nan,nan,-0.006757455412298441,4.166864439845085,0.164692560210824
25,-4.4992,nan,nan,0.0108979856595397,3.980017587542534,0.10764453979209065
26,-2.5010875,nan,nan,0.010510139167308807,4.010626420378685,0.11194194201380014
27,-3.5071625,nan,nan,-0.042124659987166524,4.13489143550396,0.1276625171303749
28,-2.8971375,nan,nan,-0.018650745507329702,4.136887490749359,0.18243674654513597
