episode,reward,eval_mean,eval_std,loss
89,-6.9993624999999975,nan,nan,
285,-3.0233375000000025,nan,nan,
90,-5.452299999999999,nan,nan,
286,-3.7400499999999965,nan,nan,
91,-9.927924999999995,nan,nan,
287,-5.154374999999998,nan,nan,
92,-6.193075000000001,nan,nan,
288,-4.4740624999999925,nan,nan,
93,-7.479175000000001,nan,nan,
289,-1.5071250000000014,nan,nan,
94,-6.238425,nan,nan,
290,-4.346325000000003,nan,nan,
95,-6.782362500000001,nan,nan,
291,-4.973337499999999,nan,nan,
96,-6.339950000000003,nan,nan,
292,-5.052562499999997,nan,nan,
97,-6.229524999999998,nan,nan,
293,-2.9584625,nan,nan,
98,-7.707649999999994,nan,nan,
294,-2.8750624999999976,nan,nan,
99,-7.039025000000001,nan,nan,
295,-4.834587499999992,nan,nan,
296,-5.980737500000003,nan,nan,
100,-6.520987499999998,-3.5162625000000025,1.0725159793390053,
297,-5.157275000000001,nan,nan,
101,-7.725875,nan,nan,
298,-3.1298124999999932,nan,nan,
102,-5.398100000000001,nan,nan,
299,-2.728662499999997,nan,nan,
103,-5.924724999999999,nan,nan,
104,-7.298237500000002,nan,nan,
300,-5.012725000000004,-2.7092925000000037,0.4168604489664378,
105,-6.409124999999999,nan,nan,
301,-2.993849999999997,nan,nan,
106,-7.220525,nan,nan,
302,-1.5943000000000014,nan,nan,
107,-5.8004375,nan,nan,
303,-5.2654749999999995,nan,nan,
108,-5.513950000000006,nan,nan,
304,-3.938887500000005,nan,nan,
109,-5.408975000000002,nan,nan,
305,-5.218325000000002,nan,nan,
110,-7.617587500000001,nan,nan,
306,-4.972112499999998,nan,nan,
111,-6.9916750000000025,nan,nan,
307,-3.3920249999999914,nan,nan,
112,-7.296324999999997,nan,nan,
308,-3.703487499999999,nan,nan,
113,-4.847950000000004,nan,nan,
309,-4.789499999999995,nan,nan,
114,-8.539975000000005,nan,nan,
310,-2.6273624999999936,nan,nan,
115,-6.8611,nan,nan,
311,-4.0489875,nan,nan,
116,-4.052599999999997,nan,nan,
312,-3.1429249999999955,nan,nan,
117,-5.996287499999999,nan,nan,
313,-2.365975000000004,nan,nan,
118,-5.050212500000006,nan,nan,
314,-4.06705,nan,nan,
119,-5.196562500000006,nan,nan,
315,-5.417949999999997,nan,nan,
120,-5.689162499999998,nan,nan,
316,-2.211674999999996,nan,nan,
121,-3.661125000000001,nan,nan,
317,-3.3872125000000017,nan,nan,
122,-5.242149999999998,nan,nan,
318,-4.172775000000003,nan,nan,
123,-4.9244499999999976,nan,nan,
319,-3.866149999999993,nan,nan,
124,-4.937200000000006,nan,nan,
320,-3.5961875,nan,nan,
125,-4.9940499999999926,nan,nan,
321,-10.990612500000003,nan,nan,
126,-6.797112499999997,nan,nan,
322,-3.885912500000002,nan,nan,
127,-5.503862500000002,nan,nan,
323,-2.9725875000000013,nan,nan,
128,-5.6540874999999975,nan,nan,
324,-4.144062499999997,nan,nan,
129,-5.761137499999999,nan,nan,
325,-4.805487500000003,nan,nan,
130,-3.022324999999998,nan,nan,
326,-5.383787500000003,nan,nan,
131,-4.838212500000003,nan,nan,
327,-4.702475000000001,nan,nan,
132,-5.4875000000000025,nan,nan,
328,-4.2129125,nan,nan,
133,-6.2077500000000025,nan,nan,
329,-2.306799999999997,nan,nan,
134,-6.143512500000001,nan,nan,
330,-4.781299999999998,nan,nan,
135,-6.030737500000002,nan,nan,
331,-3.8477999999999994,nan,nan,
136,-4.9655375000000035,nan,nan,
332,-4.685662499999999,nan,nan,
137,-4.443687499999998,nan,nan,
333,-3.990462500000002,nan,nan,
138,-5.468199999999999,nan,nan,
334,-3.2481499999999968,nan,nan,
139,-5.196612500000004,nan,nan,
335,-3.330274999999998,nan,nan,
140,-4.9515,nan,nan,
336,-4.903562499999998,nan,nan,
141,-4.923275000000007,nan,nan,
337,-4.69669999999999,nan,nan,
142,-5.33773750000001,nan,nan,
338,-4.946399999999998,nan,nan,
143,-5.3794125000000115,nan,nan,
339,-3.153650000000001,nan,nan,
144,-3.9742125000000006,nan,nan,
340,-2.8554999999999997,nan,nan,
145,-5.718224999999995,nan,nan,
341,-4.821912499999998,nan,nan,
146,-6.560387499999998,nan,nan,
342,-4.800637500000001,nan,nan,
147,-6.437650000000003,nan,nan,
343,-3.2626499999999976,nan,nan,
148,-5.58795000000001,nan,nan,
344,-5.224000000000004,nan,nan,
149,-6.550749999999998,nan,nan,
345,-3.7899624999999983,nan,nan,
150,-5.157000000000001,nan,nan,
346,-4.289675000000003,nan,nan,
151,-6.6142875,nan,nan,
347,-7.604687499999998,nan,nan,
152,-4.559287500000001,nan,nan,
348,-6.620574999999999,nan,nan,
153,-3.5996749999999977,nan,nan,
349,-3.0620249999999936,nan,nan,
154,-5.039350000000005,nan,nan,
350,-3.2285874999999993,nan,nan,
155,-4.480399999999998,nan,nan,
351,-4.027550000000002,nan,nan,
156,-6.556612500000001,nan,nan,
352,-2.8003374999999977,nan,nan,
157,-4.190037500000003,nan,nan,
353,-3.429237499999997,nan,nan,
158,-5.74645,nan,nan,
354,-2.878637499999997,nan,nan,
159,-4.077862500000005,nan,nan,
355,-3.654499999999996,nan,nan,
160,-5.414387500000001,nan,nan,
356,-2.8513124999999975,nan,nan,
161,-3.730562499999993,nan,nan,
357,-5.243962499999999,nan,nan,
162,-4.6630375000000015,nan,nan,
358,-3.0238999999999985,nan,nan,
163,-3.869599999999993,nan,nan,
359,-2.8545999999999925,nan,nan,
164,-5.122375000000002,nan,nan,
360,-4.763212499999998,nan,nan,
165,-8.276462500000001,nan,nan,
361,-3.722237500000001,nan,nan,
166,-3.9584750000000013,nan,nan,
362,-2.972324999999999,nan,nan,
167,-5.848762500000012,nan,nan,
363,-4.116312500000003,nan,nan,
168,-4.103375000000011,nan,nan,
364,-4.773825000000002,nan,nan,
169,-5.2729875000000055,nan,nan,
365,-3.2653000000000034,nan,nan,
170,-3.776375000000002,nan,nan,
366,-4.258800000000001,nan,nan,
171,-3.5908874999999982,nan,nan,
367,-5.144062499999999,nan,nan,
172,-4.7215249999999935,nan,nan,
368,-3.3858,nan,nan,
173,-6.591450000000003,nan,nan,
369,-2.135112499999999,nan,nan,
174,-5.757887500000001,nan,nan,
370,-2.388062499999998,nan,nan,
175,-8.291562500000005,nan,nan,
371,-4.516724999999993,nan,nan,
176,-5.234662499999999,nan,nan,
372,-4.151974999999999,nan,nan,
177,-4.326724999999999,nan,nan,
373,-3.5956374999999974,nan,nan,
178,-4.173312500000003,nan,nan,
374,-3.7658249999999973,nan,nan,
179,-4.036787499999998,nan,nan,
375,-4.070575,nan,nan,
180,-3.363012499999998,nan,nan,
376,-3.5243374999999957,nan,nan,
181,-5.787199999999999,nan,nan,
377,-3.3258874999999986,nan,nan,
182,-5.088862500000007,nan,nan,
378,-3.8857749999999993,nan,nan,
183,-3.9953875,nan,nan,
